purple.tag,tag.20250820,source.bag,treatment,starting.oysters,alive.20250820,notes
1,400,75,FW 35C,150,78,
2,328,75,FW 35C,150,88,
3,304,75,FW 35C,150,46,
4,301,76,FW 35C,150,78,
5,306,76,FW 35C,150,67,
6,318,76,FW 35C,150,94,
7,311,47,35C,150,69,
8,309,47,35C,150,52,
9,316,47,35C,150,101,
10,315,30,35C,150,22,
11,319,30,35C,150,47,
12,317,30,35C,150,83,
13,NA,49,Immune,150,7,
14,305,49,Immune,150,38,
15,302,49,Immune,150,7,
16,NA,50,Immune,150,4,
17,NA,50,Immune,150,0,
18,303,50,Immune,150,49,
19,NA,66,FW,150,6,
20,312,66,FW,150,113,
21,NA,66,FW,150,6,
22,307,56,FW,150,79,
23,308,56,FW,150,71,
24,314,56,FW,150,86,
25,NA,37,Control,150,NA,bag was open
26,329,37,Control,150,102,
27,310,37,Control,150,19,
28,313,36,Control,150,98,
29,320,36,Control,150,86,
30,330,36,Control,150,18,
