purple.tag,source.bag,treatment,number.oysters,20250820.tag,20250820.notes,20250820.loggers,20250820.mortality,20250606.notes,20260606.loggers,20260606.mortality,20260922.mortality,cumulative.mortality
1,75,FW 35C,150,400,,,1 large,,,4,13,18
2,75,FW 35C,150,328,,,6 small,,,1,8,15
3,75,FW 35C,150,304,,,,,,1,0,1
4,76,FW 35C,150,301,,,"7 big, 8 small",,,6,11,32
5,76,FW 35C,150,306,,,,,,3,14,17
6,76,FW 35C,150,318,,22023410,"4 big, 12 small",,,26,6,48
7,47,35C,150,311,,,5 small,,,1,19,25
8,47,35C,150,309,,,,,,2,4,6
9,47,35C,150,316,,,4 big,,,11,7,22
10,30,35C,150,315,,,2 big,,,2,0,4
11,30,35C,150,319,,,"1 small, 1 big ",,,2,3,7
12,30,35C,150,317,,,,,,3,10,13
13,49,Immune,150,NA,"not rebagged, <10 oysters",,1 big,,,NA,NA,NA
14,49,Immune,150,305,,,,,,2,10,12
15,49,Immune,150,302,,,,,,0,0,0
16,50,Immune,150,NA,"not rebagged, <10 oysters",,,,,NA,NA,NA
17,50,Immune,150,NA,"empty, no oysters",,,,,NA,NA,NA
18,50,Immune,150,303,,,,,,3,1,4
19,66,FW,150,NA,"not rebagged, <10 oysters",,,,,NA,NA,NA
20,66,FW,150,312,,,,,,1,15,16
21,66,FW,150,NA,"not rebagged, <10 oysters",,,,,NA,NA,NA
22,56,FW,150,307,,,,,,2,8,10
23,56,FW,150,308,,,,,,1,3,4
24,56,FW,150,314,,,"1 big, 23 small",,yes (other two in polyIC bags),4,12,40
25,37,Control,150,NA,"bag open, no oysters remaining",,,,,NA,NA,NA
26,37,Control,150,329,,,,,,12,12,24
27,37,Control,150,310,,22023411,,,,2,2,4
28,36,Control,150,313,,,6 small ,,,7,18,31
29,36,Control,150,320,,,3 small ,,,4,8,15
30,36,Control,150,330,,22023406,,,,2,0,2
